Group,Coil,MEP,Time,Subject
Go-only,AP,0.675779622,200,12
Go-only,AP,2.231620238,200,13
Go-only,AP,0.712149881,250,1
Go-only,AP,0.392240445,250,2
Go-only,AP,2.145212746,250,3
Go-only,AP,0.995215803,250,4
Go-only,AP,2.259100849,250,5
Go-only,AP,3.849130776,250,6
Go-only,AP,1.217755594,250,7
Go-only,AP,2.41217007,250,8
Go-only,AP,4.63016104,250,9
Go-only,AP,5.456353685,250,10
Go-only,AP,5.421206075,250,11
Go-only,AP,2.601855298,250,12
Go-only,AP,4.100919089,250,13
Go-only,AP,1.163969813,300,1
Go-only,AP,0.823199946,300,2
Go-only,AP,1.218439372,300,3
Go-only,AP,2.881911629,300,4
Go-only,AP,2.719010586,300,5
Go-only,AP,5.383071704,300,6
Go-only,AP,1.454189686,300,7
Go-only,AP,2.149255889,300,8
Go-only,AP,2.397659077,300,9
Go-only,AP,6.281238854,300,10
Go-only,AP,6.58922886,300,11
Go-only,AP,1.98792886,300,12
Go-only,AP,2.855507302,300,13
SST,PA,0.685028347,0,1
SST,PA,0.239355412,0,2
SST,PA,1.834977273,0,3
SST,PA,0.826769063,0,4
SST,PA,0.712342544,0,5
SST,PA,0.952549966,0,6
SST,PA,1.182068456,0,7
SST,PA,0.669282126,0,8
SST,PA,0.688508922,0,9
SST,PA,1.843524891,0,10
SST,PA,0.712511714,0,11
SST,PA,0.515747793,0,12
SST,PA,0.829030347,0,13
SST,PA,0.410285767,50,1
SST,PA,0.575653997,50,2
SST,PA,1.354810244,50,3
SST,PA,0.68233768,50,4
SST,PA,0.218817754,50,5
SST,PA,0.76046168,50,6
SST,PA,1.047234383,50,7
SST,PA,0.901379403,50,8
SST,PA,0.61846008,50,9
SST,PA,1.944050938,50,10
SST,PA,0.669292466,50,11
SST,PA,0.196757144,50,12
SST,PA,0.955215376,50,13
SST,PA,0.526903492,100,1
SST,PA,0.287669705,100,2
SST,PA,1.6378165,100,3
SST,PA,0.859573357,100,4
SST,PA,0.4689832,100,5
SST,PA,0.913733907,100,6
SST,PA,0.784414068,100,7
SST,PA,0.975397468,100,8
SST,PA,1.037443619,100,9
SST,PA,2.335691141,100,10
SST,PA,1.202337305,100,11
SST,PA,0.235150502,100,12
SST,PA,0.787889707,100,13
SST,PA,0.596556775,150,1
SST,PA,0.757727238,150,2
SST,PA,1.56438939,150,3
SST,PA,0.839907749,150,4
SST,PA,0.47444252,150,5
SST,PA,0.899682772,150,6
SST,PA,1.131524105,150,7
SST,PA,1.478589361,150,8
SST,PA,1.18557485,150,9
SST,PA,3.066653558,150,10
SST,PA,0.830288444,150,11
SST,PA,0.219551919,150,12
SST,PA,1.995479392,150,13
SST,PA,0.876357565,200,1
SST,PA,0.630490763,200,2
SST,PA,2.596246118,200,3
SST,PA,1.197751888,200,4
