Group,Coil,MEP,Time,Subject
Go-only,AP,2.335536628,200 - 250,10
Go-only,AP,2.009731583,200 - 250,11
Go-only,AP,0.793056804,200 - 250,12
Go-only,AP,0.677064647,200 - 250,13
Go-only,AP,0.520734484,250 - 300,1
Go-only,AP,0.290240642,250 - 300,2
Go-only,AP,0.663675891,250 - 300,3
Go-only,AP,0.8195035,250 - 300,4
Go-only,AP,0.652739132,250 - 300,5
Go-only,AP,2.357886362,250 - 300,6
Go-only,AP,2.088839658,250 - 300,7
Go-only,AP,0.874409062,250 - 300,8
Go-only,AP,0.790021896,250 - 300,9
Go-only,AP,2.050920232,250 - 300,10
Go-only,AP,1.170377275,250 - 300,11
Go-only,AP,0.492362201,250 - 300,12
Go-only,AP,1.043650745,250 - 300,13
Go-only,AP,0.165549132,300 - 350,1
Go-only,AP,0.88642908,300 - 350,2
Go-only,AP,0.623442425,300 - 350,3
Go-only,AP,0.869339089,300 - 350,4
Go-only,AP,NaN,300 - 350,5
Go-only,AP,1.040890571,300 - 350,6
Go-only,AP,0.581266193,300 - 350,7
Go-only,AP,1.773685254,300 - 350,8
Go-only,AP,NaN,300 - 350,9
Go-only,AP,0.826643196,300 - 350,10
Go-only,AP,0.687184959,300 - 350,11
Go-only,AP,1.291355963,300 - 350,12
Go-only,AP,0.709462455,300 - 350,13
SST,PA,1.337063982,050 - 100,1
SST,PA,2.585825575,050 - 100,2
SST,PA,6.271548242,050 - 100,3
SST,PA,3.512369722,050 - 100,4
SST,PA,1.701769095,050 - 100,5
SST,PA,5.31587686,050 - 100,6
SST,PA,NaN,050 - 100,7
SST,PA,2.552572009,050 - 100,8
SST,PA,4.326792676,050 - 100,9
SST,PA,7.157138979,050 - 100,10
SST,PA,4.227662972,050 - 100,11
SST,PA,8.015358587,050 - 100,12
SST,PA,7.902158432,050 - 100,13
SST,PA,0.556533867,100 - 150,1
SST,PA,0.885279799,100 - 150,2
SST,PA,3.715978546,100 - 150,3
SST,PA,2.110272859,100 - 150,4
SST,PA,NaN,100 - 150,5
SST,PA,1.992275797,100 - 150,6
SST,PA,2.119620419,100 - 150,7
SST,PA,1.87272104,100 - 150,8
SST,PA,2.708334704,100 - 150,9
SST,PA,3.27213111,100 - 150,10
SST,PA,2.321393612,100 - 150,11
SST,PA,0.638155964,100 - 150,12
SST,PA,1.362522194,100 - 150,13
SST,PA,0.614770563,150 - 200,1
SST,PA,0.441225727,150 - 200,2
SST,PA,2.45978047,150 - 200,3
SST,PA,1.128773558,150 - 200,4
SST,PA,0.407164289,150 - 200,5
SST,PA,0.926897778,150 - 200,6
SST,PA,1.214480826,150 - 200,7
