Analysis,Group,Type,Distance,Time,Subject
Cue,Euclidean,Sim,0.377572143,100,3
Cue,Euclidean,Sim,0.474654344,100,4
Cue,Euclidean,Sim,0.15952092,100,5
Cue,Euclidean,Sim,0.619891456,100,6
Cue,Euclidean,Sim,0.442596579,100,7
Cue,Euclidean,Sim,0.333544325,100,8
Cue,Euclidean,Sim,0.191637158,100,9
Cue,Euclidean,Sim,0.8669362,100,10
Cue,Euclidean,Sim,0.807258227,100,11
Cue,Euclidean,Sim,1.257063604,100,12
Cue,Euclidean,Sim,0.395395412,100,13
Cue,Euclidean,Sim,0.715469814,150,1
Cue,Euclidean,Sim,0.257777849,150,2
Cue,Euclidean,Sim,1.409126035,150,3
Cue,Euclidean,Sim,1.56840222,150,4
Cue,Euclidean,Sim,1.300181875,150,5
Cue,Euclidean,Sim,1.983163371,150,6
Cue,Euclidean,Sim,0.454038779,150,7
Cue,Euclidean,Sim,1.276317861,150,8
Cue,Euclidean,Sim,1.149184637,150,9
Cue,Euclidean,Sim,1.253104751,150,10
Cue,Euclidean,Sim,1.28774904,150,11
Cue,Euclidean,Sim,1.360474852,150,12
Cue,Euclidean,Sim,0.906841527,150,13
Cue,Euclidean,Sim,0.47759088,200,1
Cue,Euclidean,Sim,0.52327189,200,2
Cue,Euclidean,Sim,1.491445741,200,3
Cue,Euclidean,Sim,1.439185573,200,4
Cue,Euclidean,Sim,2.052163551,200,5
Cue,Euclidean,Sim,2.09141396,200,6
Cue,Euclidean,Sim,0.599512506,200,7
Cue,Euclidean,Sim,1.192030351,200,8
Cue,Euclidean,Sim,1.017660502,200,9
Cue,Euclidean,Sim,1.939505261,200,10
Cue,Euclidean,Sim,1.827341518,200,11
Cue,Euclidean,Sim,1.27306234,200,12
Cue,Euclidean,Sim,1.132806943,200,13
Cue,Euclidean,Sim,0.500130633,250,1
Cue,Euclidean,Sim,0.593896439,250,2
Cue,Euclidean,Sim,2.117298271,250,3
Cue,Euclidean,Sim,0.864046386,250,4
Cue,Euclidean,Sim,1.663789057,250,5
Cue,Euclidean,Sim,1.427440375,250,6
Cue,Euclidean,Sim,0.503792961,250,7
Cue,Euclidean,Sim,0.792998294,250,8
Cue,Euclidean,Sim,2.087989889,250,9
Cue,Euclidean,Sim,2.246735367,250,10
Cue,Euclidean,Sim,1.680761341,250,11
Cue,Euclidean,Sim,3.042191536,250,12
Cue,Euclidean,Sim,0.93982361,250,13
Cue,Euclidean,Sim,0.650259892,300,1
Cue,Euclidean,Sim,1.00754236,300,2
Cue,Euclidean,Sim,1.613321595,300,3
Cue,Euclidean,Sim,1.846275492,300,4
Cue,Euclidean,Sim,1.283502856,300,5
Cue,Euclidean,Sim,1.773954864,300,6
Cue,Euclidean,Sim,0.564444308,300,7
Cue,Euclidean,Sim,1.121476337,300,8
Cue,Euclidean,Sim,1.041732176,300,9
Cue,Euclidean,Sim,1.60536923,300,10
Cue,Euclidean,Sim,1.290087089,300,11
Cue,Euclidean,Sim,2.967489617,300,12
Cue,Euclidean,Sim,1.115138167,300,13
